English,Dutch
Addis Ababa,Addis Abeba
Alexandria,Alexandrië
Antwerp,Antwerpen
Ashkabat,Asjchabat
Athens,Athene
Baghdad,Bagdad
Baku,Bakoe
Bandung,Bandoeng
Belize City,Belize Stad
Berlin,Berlyn
Bishkek,Bisjkek
Bucharest,Boekarest
Budapest,Boedapest
Cairo,Caïro
Cape Town,Kaapstad
Central Coast,Centrale Kus
Cologne,Keulen
Copenhagen,Kopenhagen
Dushanbe,Doesjanbe
East London,Oos-Londen
Edinburgh,Edinburg
Geneva,Genua
Gold Coast,Goudkus
Gothenburg,Gotenburg
Guatemala City,Guatemala Stad
Hiroshima,Hirosjima
Ho Chi Minh City,Ho Chi Minh Stad
Istanbul,Istanboel
Jakarra,Djakarta
Jeddah,Djedda
Jerusalem,Jeruzalem
Juba,Djoeba
Khartoum,Khartoem
Kiev,Kief
Kuwait,Koeweit
Kyoto,Kioto
Lisbon,Lissabon
London,Londen
Mecca,Mekka
Mexico City,Meksiko Stad
Milan,Milaan
Muskat,Maskat
Mogadishu,Mogadisju
Moscow,Moskou
Munich,München
Nagoya,Nagoja
Naples,Napels
New Delhi,Nieuw-Delhi
New Plymouth,Nieuw-Plymouth
New York,Nieuw-York
Panama City,Panama Stad
Paris,Parys
Port Sudan,Port Soedan
Prague,Praag
Pyongyang,Pjongjang
Quezon City,Quezon Stad
Richards Bay,Richardsbaai
Riyadh,Riaad
Saint Petersburg,Sint Petersburg
Shanghai,Sjanghai
Singapore,Singapoer
Tashkent,Tasjkent
Tehran,Teheran
Tokyo,Tokio
Venice,Venesië
Vienna,Wien
Vladivostok,Wladiwostok
Walvis Bay,Walvisbaai
Warsaw,Warskou
Yaounde,Jaunde
Yerevan,Jerevan
Yogyakarta,Jogjakarta
Yokohama,Jokohama
